Region1;Region2;N
1;2;24696.9595425062
1;3;-13126.3760511179
1;E;3962.38474637233
2;1;-24696.9595425062
2;3;-10975.3339892742
2;E;-2985.31219686768
3;1;13126.3760511179
3;2;10975.3339892742
3;E;102198.388616264
E;1;-3962.38474637233
E;2;2985.31219686768
E;3;-102198.388616264
