Region1;Region2;N
1;2;6049.1416958098
1;3;15111.5082803982
1;E;4012.53841787589
2;1;30746.101238316
2;3;16981.7686007679
2;E;11991.6069696387
3;1;1985.13222928024
3;2;6006.4346114937
3;E;43954.0573730758
E;1;7974.92316424822
E;2;9006.294772771
E;3;146152.445989339
