Region1;Region2;N
1;2;24602.3253253819
1;3;-13151.527743743
1;E;3909.9929181365
2;1;-24602.3253253819
2;3;-10957.8049477736
2;E;-2931.80514550487
3;1;13151.527743743
3;2;10957.8049477736
3;E;102268.43324174
E;1;-3909.9929181365
E;2;2931.80514550487
E;3;-102268.43324174
