Region1;Region2;N
1;2;6064.48778507321
1;3;15133.7009503615
1;E;4030.00236062116
2;1;30666.8131104551
2;3;16968.8123527023
2;E;11961.0315117171
3;1;1982.17320661847
3;2;6011.00740492862
3;E;43937.8365124391
E;1;7939.99527875767
E;2;9029.2263662122
E;3;146206.269754179
