Region1;Region2;N;Nbal
1;2;25000;24602.3253253819
1;3;-13000;-13151.527743743
1;E;4000;3909.9929181365
2;1;-25000;-24602.3253253819
2;3;-11000;-10957.8049477736
2;E;-3000;-2931.80514550487
3;1;13000;13151.527743743
3;2;11000;10957.8049477736
3;E;102000;102268.43324174
E;1;-4000;-3909.9929181365
E;2;3000;2931.80514550487
E;3;-102000;-102268.43324174
